SampleID	Location	Country	Year	Region
SPT34915	Farafenni	Gambia	1984	center
SPT34916	Farafenni	Gambia	1984	center
SPT34918	Farafenni	Gambia	1984	center
SPT34920	Farafenni	Gambia	1984	center
SPT34922	Farafenni	Gambia	1984	center
SPT34924	Farafenni	Gambia	1984	center
SPT34926	Farafenni	Gambia	1984	center
SPT34927	Farafenni	Gambia	1984	center
SPT34929	Farafenni	Gambia	1984	center
SPT34930	Farafenni	Gambia	1984	center
SPT34931	Farafenni	Gambia	1984	center
SPT34933	Farafenni	Gambia	1984	center
SPT34934	Farafenni	Gambia	1984	center
SPT34936	Farafenni	Gambia	1984	center
SPT34937	Farafenni	Gambia	1984	center
SPT34938	Farafenni	Gambia	1984	center
SPT34940	Farafenni	Gambia	1984	center
SPT34943	Farafenni	Gambia	1984	center
SPT34944	Farafenni	Gambia	1984	center
SPT34945	Farafenni	Gambia	1984	center
SPT34946	Farafenni	Gambia	1984	center
SPT34947	Farafenni	Gambia	1984	center
SPT34950	Farafenni	Gambia	1984	center
SPT34952	Farafenni	Gambia	1984	center
SPT34953	Farafenni	Gambia	1984	center
SPT34955	Farafenni	Gambia	1984	center
SPT34956	Farafenni	Gambia	1984	center
SPT34957	Farafenni	Gambia	1984	center
SPT34958	Farafenni	Gambia	1984	center
SPT34959	Farafenni	Gambia	1984	center
SPT34960	Farafenni	Gambia	1984	center
SPT34961	Farafenni	Gambia	1984	center
SPT34964	Farafenni	Gambia	1984	center
SPT34969	Farafenni	Gambia	1984	center
SPT34970	Farafenni	Gambia	1984	center
SPT34971	Farafenni	Gambia	1984	center
SPT34972	Farafenni	Gambia	1984	center
SPT34974	Farafenni	Gambia	1984	center
SPT34976	Farafenni	Gambia	1984	center
SPT34977	Farafenni	Gambia	1984	center
SPT34979	Farafenni	Gambia	1984	center
SPT34980	Farafenni	Gambia	1984	center
SPT34981	Farafenni	Gambia	1984	center
SPT34983	Farafenni	Gambia	1984	center
SPT34985	Farafenni	Gambia	1984	center
SPT34987	Farafenni	Gambia	1984	center
SPT34988	Farafenni	Gambia	1984	center
SPT34989	Farafenni	Gambia	1984	center
SPT34990	Farafenni	Gambia	1984	center
SPT34991	Farafenni	Gambia	1984	center
SPT34993	Farafenni	Gambia	1984	center
SPT34994	Farafenni	Gambia	1984	center
SPT34995	Farafenni	Gambia	1984	center
SPT34996	Farafenni	Gambia	1984	center
SPT34997	Farafenni	Gambia	1984	center
SPT35000	Farafenni	Gambia	1984	center
SPT35001	Farafenni	Gambia	1984	center
SPT35002	Farafenni	Gambia	1984	center
SPT35004	Farafenni	Gambia	1984	center
SPT35005	Farafenni	Gambia	1984	center
SPT35008	Farafenni	Gambia	1984	center
SPT35009	Farafenni	Gambia	1984	center
SPT35011	Farafenni	Gambia	1984	center
SPT35012	Farafenni	Gambia	1984	center
SPT35014	Farafenni	Gambia	1984	center
SPT35015	Farafenni	Gambia	1984	center
SPT35017	Farafenni	Gambia	1984	center
SPT35018	Farafenni	Gambia	1984	center
SPT35020	Farafenni	Gambia	1984	center
SPT35021	Farafenni	Gambia	1984	center
SPT35023	Farafenni	Gambia	1984	center
SPT35026	Farafenni	Gambia	1984	center
SPT35030	Farafenni	Gambia	1984	center
SPT35031	Farafenni	Gambia	1984	center
SPT35032	Farafenni	Gambia	1984	center
SPT35033	Farafenni	Gambia	1984	center
SPT35036	Farafenni	Gambia	1984	center
SPT35037	Farafenni	Gambia	1984	center
SPT35038	Farafenni	Gambia	1984	center
SPT35039	Serrekunda	Gambia	2000	west
SPT35040	Serrekunda	Gambia	2000	west
SPT35042	Serrekunda	Gambia	2000	west
SPT35044	Serrekunda	Gambia	2000	west
SPT35045	Serrekunda	Gambia	2000	west
SPT35047	Serrekunda	Gambia	2000	west
SPT35050	Serrekunda	Gambia	2000	west
SPT35052	Serrekunda	Gambia	2000	west
SPT35060	Serrekunda	Gambia	2000	west
SPT35065	Serrekunda	Gambia	2000	west
SPT35066	Serrekunda	Gambia	2000	west
SPT35069	Serrekunda	Gambia	2000	west
SPT35070	Serrekunda	Gambia	2000	west
SPT35071	Serrekunda	Gambia	2000	west
SPT35072	Serrekunda	Gambia	2000	west
SPT35077	Serrekunda	Gambia	2000	west
SPT35078	Serrekunda	Gambia	2000	west
SPT35079	Serrekunda	Gambia	2000	west
SPT35080	Serrekunda	Gambia	2000	west
SPT35085	Serrekunda	Gambia	2000	west
SPT35087	Serrekunda	Gambia	2000	west
SPT35089	Serrekunda	Gambia	2000	west
SPT35091	Serrekunda	Gambia	2000	west
SPT35092	Serrekunda	Gambia	2000	west
SPT35093	Serrekunda	Gambia	2000	west
SPT35094	Serrekunda	Gambia	2000	west
SPT35096	Serrekunda	Gambia	2000	west
SPT35098	Serrekunda	Gambia	2000	west
SPT35099	Serrekunda	Gambia	2000	west
SPT35101	Serrekunda	Gambia	2000	west
SPT35102	Serrekunda	Gambia	2000	west
SPT35103	Serrekunda	Gambia	2000	west
SPT35104	Serrekunda	Gambia	2000	west
SPT35105	Serrekunda	Gambia	2000	west
SPT35106	Serrekunda	Gambia	2000	west
SPT35107	Serrekunda	Gambia	2000	west
SPT35109	Farafenni	Gambia	1990	center
SPT35114	Farafenni	Gambia	1990	center
SPT35115	Farafenni	Gambia	1990	center
SPT35116	Farafenni	Gambia	1990	center
SPT35117	Farafenni	Gambia	1990	center
SPT35121	Farafenni	Gambia	1990	center
SPT35125	Farafenni	Gambia	1990	center
SPT35127	Farafenni	Gambia	1990	center
SPT35128	Farafenni	Gambia	1990	center
SPT35129	Farafenni	Gambia	1990	center
SPT35130	Farafenni	Gambia	1990	center
SPT35131	Farafenni	Gambia	1990	center
SPT35132	Farafenni	Gambia	1990	center
SPT35133	Farafenni	Gambia	1990	center
SPT35134	Farafenni	Gambia	1990	center
SPT35135	Bounkiling	Senegal	2015	sen
SPT35136	Bounkiling	Senegal	2015	sen
SPT35137	Bounkiling	Senegal	2015	sen
SPT35139	Bounkiling	Senegal	2015	sen
SPT35140	Bounkiling	Senegal	2015	sen
SPT35141	Bounkiling	Senegal	2015	sen
SPT35142	Bounkiling	Senegal	2015	sen
SPT35145	Bounkiling	Senegal	2015	sen
SPT35147	Bounkiling	Senegal	2015	sen
SPT35148	Bounkiling	Senegal	2015	sen
SPT35149	Bounkiling	Senegal	2015	sen
SPT35150	Bounkiling	Senegal	2015	sen
SPT35151	Bounkiling	Senegal	2015	sen
SPT35152	Bounkiling	Senegal	2015	sen
SPT35153	Bounkiling	Senegal	2015	sen
SPT35154	Bounkiling	Senegal	2015	sen
SPT35155	Bounkiling	Senegal	2015	sen
SPT35156	Bounkiling	Senegal	2015	sen
SPT35157	Bounkiling	Senegal	2015	sen
SPT35158	Bounkiling	Senegal	2015	sen
SPT35159	Bounkiling	Senegal	2015	sen
SPT35160	Bounkiling	Senegal	2015	sen
SPT35161	Bounkiling	Senegal	2015	sen
SPT35162	Bounkiling	Senegal	2015	sen
SPT35163	Bounkiling	Senegal	2015	sen
SPT35164	Bounkiling	Senegal	2015	sen
SPT35165	Bounkiling	Senegal	2015	sen
SPT35166	Bounkiling	Senegal	2015	sen
SPT35167	Bounkiling	Senegal	2015	sen
SPT35168	Bounkiling	Senegal	2015	sen
SPT35169	Bounkiling	Senegal	2015	sen
SPT35170	Bounkiling	Senegal	2015	sen
SPT35171	Bounkiling	Senegal	2015	sen
SPT35172	Bounkiling	Senegal	2015	sen
SPT35173	Bounkiling	Senegal	2015	sen
SPT35174	Bounkiling	Senegal	2015	sen
SPT35175	Bounkiling	Senegal	2015	sen
SPT35176	Bounkiling	Senegal	2015	sen
SPT35177	Bounkiling	Senegal	2015	sen
SPT35178	Bounkiling	Senegal	2015	sen
SPT35179	Bounkiling	Senegal	2015	sen
SPT35180	Bounkiling	Senegal	2015	sen
SPT35181	Bounkiling	Senegal	2015	sen
SPT35182	Bounkiling	Senegal	2015	sen
SPT35183	Bounkiling	Senegal	2015	sen
SPT35185	Bounkiling	Senegal	2015	sen
SPT35186	Bounkiling	Senegal	2015	sen
SPT35187	Bounkiling	Senegal	2015	sen
SPT35188	Bounkiling	Senegal	2015	sen
SPT35189	Bounkiling	Senegal	2015	sen
SPT35190	Bounkiling	Senegal	2015	sen
SPT35191	Bounkiling	Senegal	2015	sen
SPT35192	Bounkiling	Senegal	2015	sen
SPT35193	Bounkiling	Senegal	2015	sen
SPT35194	Bounkiling	Senegal	2015	sen
SPT35198	Bounkiling	Senegal	2015	sen
SPT35199	Bounkiling	Senegal	2015	sen
SPT35200	Bounkiling	Senegal	2015	sen
SPT35201	Bounkiling	Senegal	2015	sen
SPT35202	Brikama	Gambia	2015	west
SPT35204	Brikama	Gambia	2015	west
SPT35206	Brikama	Gambia	2015	west
SPT35207	Brikama	Gambia	2015	west
SPT35208	Brikama	Gambia	2015	west
SPT35209	Brikama	Gambia	2015	west
SPT35210	Brikama	Gambia	2015	west
SPT35211	Brikama	Gambia	2015	west
SPT35212	Brikama	Gambia	2015	west
SPT35213	Brikama	Gambia	2015	west
SPT35214	Brikama	Gambia	2015	west
SPT35216	Brikama	Gambia	2015	west
SPT35217	Brikama	Gambia	2015	west
SPT35218	Brikama	Gambia	2015	west
SPT35219	Brikama	Gambia	2015	west
SPT35220	Brikama	Gambia	2015	west
SPT35221	Brikama	Gambia	2015	west
SPT35222	Brikama	Gambia	2015	west
SPT35223	Brikama	Gambia	2015	west
SPT35224	Brikama	Gambia	2015	west
SPT35227	Brikama	Gambia	2015	west
SPT35228	Brikama	Gambia	2015	west
SPT35229	Brikama	Gambia	2015	west
SPT35230	Brikama	Gambia	2015	west
SPT35231	Brikama	Gambia	2015	west
SPT35232	Brikama	Gambia	2015	west
SPT35233	Brikama	Gambia	2015	west
SPT35234	Brikama	Gambia	2015	west
SPT35235	Brikama	Gambia	2015	west
SPT35236	Brikama	Gambia	2015	west
SPT35237	Brikama	Gambia	2015	west
SPT35238	Brikama	Gambia	2015	west
SPT35239	Brikama	Gambia	2015	west
SPT35240	Brikama	Gambia	2015	west
SPT35241	Brikama	Gambia	2015	west
SPT35243	Brikama	Gambia	2015	west
SPT35244	Brikama	Gambia	2015	west
SPT35245	Brikama	Gambia	2015	west
SPT35246	Brikama	Gambia	2015	west
SPT35247	Brikama	Gambia	2015	west
SPT35248	Brikama	Gambia	2015	west
SPT35249	Brikama	Gambia	2015	west
SPT35250	Brikama	Gambia	2015	west
SPT35251	Brikama	Gambia	2015	west
SPT35252	Brikama	Gambia	2015	west
SPT35253	Brikama	Gambia	2015	west
SPT35254	Brikama	Gambia	2015	west
SPT35255	Brikama	Gambia	2015	west
SPT35256	Brikama	Gambia	2015	west
SPT35257	Brikama	Gambia	2015	west
SPT35258	Brikama	Gambia	2015	west
SPT35260	Brikama	Gambia	2015	west
SPT35261	Brikama	Gambia	2015	west
SPT35262	Brikama	Gambia	2015	west
SPT35263	Brikama	Gambia	2015	west
SPT35264	Brikama	Gambia	2015	west
SPT35265	Brikama	Gambia	2015	west
SPT35266	Brikama	Gambia	2015	west
SPT35267	Brikama	Gambia	2015	west
SPT35268	Brikama	Gambia	2015	west
SPT35269	Brikama	Gambia	2015	west
SPT35270	Brikama	Gambia	2015	west
SPT35271	Brikama	Gambia	2015	west
SPT35272	Brikama	Gambia	2015	west
SPT35274	Brikama	Gambia	2015	west
SPT35275	Brikama	Gambia	2015	west
SPT35276	Brikama	Gambia	2015	west
SPT35278	Brikama	Gambia	2015	west
SPT35279	Brikama	Gambia	2015	west
SPT35280	Brikama	Gambia	2015	west
SPT35281	Brikama	Gambia	2015	west
SPT35282	Brikama	Gambia	2015	west
SPT35283	Brikama	Gambia	2015	west
SPT35284	Brikama	Gambia	2015	west
SPT35285	Brikama	Gambia	2015	west
SPT35286	Brikama	Gambia	2015	west
SPT35287	Brikama	Gambia	2015	west
SPT35288	Brikama	Gambia	2015	west
SPT35289	Brikama	Gambia	2015	west
SPT35290	Brikama	Gambia	2015	west
SPT35291	Brikama	Gambia	2015	west
SPT35293	Brikama	Gambia	2015	west
SPT35294	Brikama	Gambia	2015	west
SPT35295	Brikama	Gambia	2015	west
SPT35296	Brikama	Gambia	2015	west
SPT35297	Brikama	Gambia	2015	west
SPT35298	Brikama	Gambia	2015	west
SPT35299	Brikama	Gambia	2015	west
SPT35300	Brikama	Gambia	2015	west
SPT35301	Brikama	Gambia	2015	west
SPT35302	Besse	Gambia	2014	west
SPT35303	Besse	Gambia	2014	west
SPT35304	Besse	Gambia	2014	west
SPT35306	Besse	Gambia	2014	west
SPT35308	Besse	Gambia	2014	west
SPT35309	Besse	Gambia	2014	west
SPT35310	Besse	Gambia	2014	west
SPT35313	Besse	Gambia	2014	west
SPT35315	Besse	Gambia	2014	west
SPT35316	Besse	Gambia	2014	west
SPT35317	Besse	Gambia	2014	west
SPT35318	Chogen	Gambia	2014	west
SPT35320	Chogen	Gambia	2014	west
SPT35321	Chogen	Gambia	2014	west
SPT35322	Chogen	Gambia	2014	west
SPT35323	Chogen	Gambia	2014	west
SPT35324	Chogen	Gambia	2014	west
SPT35325	Chogen	Gambia	2014	west
SPT35328	DongoroBa	Gambia	2014	center
SPT35330	DongoroBa	Gambia	2014	center
SPT35331	DongoroBa	Gambia	2014	center
SPT35332	DongoroBa	Gambia	2014	center
SPT35333	DongoroBa	Gambia	2014	center
SPT35334	DongoroBa	Gambia	2014	center
SPT35338	Njayel	Gambia	2014	east
SPT35339	Njayel	Gambia	2014	east
SPT35340	Njayel	Gambia	2014	east
SPT35341	Njayel	Gambia	2014	east
SPT35342	Njayel	Gambia	2014	east
SPT35344	Njayel	Gambia	2014	east
SPT35346	Njayel	Gambia	2014	east
SPT35347	Njayel	Gambia	2014	east
SPT35348	Njayel	Gambia	2014	east
SPT35349	Njayel	Gambia	2014	east
SPT35351	Njayel	Gambia	2014	east
SPT35352	Njayel	Gambia	2014	east
SPT35354	Njayel	Gambia	2014	east
SPT35355	Njayel	Gambia	2014	east
SPT35356	Besse	Gambia	2014	west
SPT35357	Besse	Gambia	2014	west
SPT35360	DongoroBa	Gambia	2014	center
SPT35361	DongoroBa	Gambia	2014	center
SPT35362	Njayel	Gambia	2014	east
SPT35363	Njayel	Gambia	2014	east
SPT35364	Njayel	Gambia	2014	east
SPT35365	Njayel	Gambia	2014	east
SPT35366	Njayel	Gambia	2014	east
SPT35368	Njayel	Gambia	2014	east
SPT35369	Njayel	Gambia	2014	east
SPT35370	Njayel	Gambia	2014	east
SPT35372	Njayel	Gambia	2014	east
SPT35373	Njayel	Gambia	2014	east
SPT35374	Njayel	Gambia	2014	east
SPT35377	Njayel	Gambia	2014	east
SPT35378	Njayel	Gambia	2014	east
SPT35379	Njayel	Gambia	2014	east
SPT35382	Njayel	Gambia	2014	east
SPT35384	Njayel	Gambia	2014	east
SPT35389	Njayel	Gambia	2014	east
SPT35390	Njayel	Gambia	2014	east
SPT35405	Njayel	Gambia	2014	east
SPT35407	Njayel	Gambia	2014	east
SPT35410	Njayel	Gambia	2014	east
SPT35412	Njayel	Gambia	2014	east
SPT35414	Njayel	Gambia	2014	east
SPT35417	Njayel	Gambia	2014	east
SPT35418	Njayel	Gambia	2014	east
SPT35419	Njayel	Gambia	2014	east
SPT35420	Njayel	Gambia	2014	east
SPT35423	Njayel	Gambia	2014	east
SPT35424	Njayel	Gambia	2014	east
SPT35425	Njayel	Gambia	2014	east
SPT35427	Njayel	Gambia	2014	east
SPT35430	Njayel	Gambia	2014	east
SPT35431	Njayel	Gambia	2014	east
SPT35435	Njayel	Gambia	2014	east
SPT35436	Njayel	Gambia	2014	east
SPT35437	Njayel	Gambia	2014	east
SPT35440	Njayel	Gambia	2014	east
SPT35443	SareWuro	Gambia	2014	east
SPT35444	SareWuro	Gambia	2014	east
SPT35446	SareWuro	Gambia	2014	east
SPT35447	SareWuro	Gambia	2014	east
SPT35448	SareWuro	Gambia	2014	east
SPT35449	SareWuro	Gambia	2014	east
SPT35450	SareWuro	Gambia	2014	east
SPT35453	SareWuro	Gambia	2014	east
SPT35458	SareWuro	Gambia	2014	east
SPT35459	SareWuro	Gambia	2014	east
SPT35461	SareWuro	Gambia	2014	east
SPT35462	SareWuro	Gambia	2014	east
SPT35463	SareWuro	Gambia	2014	east
SPT35467	SareWuro	Gambia	2014	east
SPT35468	SareWuro	Gambia	2014	east
SPT35469	SareWuro	Gambia	2014	east
SPT35470	SareWuro	Gambia	2014	east
SPT35471	SareWuro	Gambia	2014	east
SPT35472	SareWuro	Gambia	2014	east
SPT35474	SareWuro	Gambia	2014	east
SPT35475	SareWuro	Gambia	2014	east
SPT35476	SareWuro	Gambia	2014	east
SPT35485	SareWuro	Gambia	2014	east
SPT35487	SareWuro	Gambia	2014	east
SPT35499	SareWuro	Gambia	2014	east
SPT35500	SareWuro	Gambia	2014	east
SPT35501	SareWuro	Gambia	2014	east
SPT35502	SareWuro	Gambia	2014	east
SPT35503	SareWuro	Gambia	2014	east
SPT35508	SareWuro	Gambia	2014	east
SPT35509	SareWuro	Gambia	2014	east
SPT35510	SareWuro	Gambia	2014	east
SPT35511	SareWuro	Gambia	2014	east
SPT35514	SareWuro	Gambia	2014	east
SPT35515	SareWuro	Gambia	2014	east
SPT35516	SareWuro	Gambia	2014	east
SPT35517	SareWuro	Gambia	2014	east
SPT35518	SareWuro	Gambia	2014	east
SPT35519	SareWuro	Gambia	2014	east
SPT35520	SareWuro	Gambia	2014	east
SPT35521	SareWuro	Gambia	2014	east
SPT35522	SareWuro	Gambia	2014	east
SPT35523	SareWuro	Gambia	2014	east
SPT35524	SareWuro	Gambia	2014	east
SPT35525	SareWuro	Gambia	2014	east
SPT35526	SareWuro	Gambia	2014	east
SPT35529	SareWuro	Gambia	2014	east
SPT35532	SareWuro	Gambia	2014	east
SPT35537	SareWuro	Gambia	2014	east
SPT35538	SareWuro	Gambia	2014	east
SPT35541	SareWuro	Gambia	2014	east
SPT35543	SareWuro	Gambia	2014	east
SPT35544	SareWuro	Gambia	2014	east
SPT35546	SareWuro	Gambia	2014	east
SPT35547	SareWuro	Gambia	2014	east
SPT35551	SareWuro	Gambia	2014	east
SPT35552	SareWuro	Gambia	2014	east
SPT35553	SareWuro	Gambia	2014	east
SPT35556	Njayel	Gambia	2014	east
SPT35557	Njayel	Gambia	2014	east
SPT35561	Njayel	Gambia	2014	east
SPT35563	Njayel	Gambia	2014	east
SPT35564	Njayel	Gambia	2014	east
SPT35566	Njayel	Gambia	2014	east
SPT35567	Njayel	Gambia	2014	east
SPT35571	Njayel	Gambia	2014	east
SPT35575	Njayel	Gambia	2014	east
SPT35576	Njayel	Gambia	2014	east
SPT35577	Njayel	Gambia	2014	east
SPT35580	Njayel	Gambia	2014	east
SPT35581	Njayel	Gambia	2014	east
SPT35583	Njayel	Gambia	2014	east
SPT35584	Njayel	Gambia	2014	east
SPT35585	Njayel	Gambia	2014	east
SPT35587	Njayel	Gambia	2014	east
SPT35588	Njayel	Gambia	2014	east
SPT35589	Njayel	Gambia	2014	east
SPT35590	Njayel	Gambia	2014	east
SPT35592	Njayel	Gambia	2014	east
SPT35673	Besse	Gambia	2014	west
SPT35681	Besse	Gambia	2014	west
SPT35752	Njayel	Gambia	2014	east
SPT35766	Njayel	Gambia	2014	east
SPT35780	DongoroBa	Gambia	2014	center
SPT35835	Njayel	Gambia	2015	east
SPT35850	Njayel	Gambia	2015	east
SPT35876	Besse	Gambia	2015	west
SPT35877	Besse	Gambia	2015	west
SPT35879	Chogen	Gambia	2015	west
SPT35880	DongoroBa	Gambia	2015	center
SPT35883	DongoroBa	Gambia	2015	center
SPT35888	Njayel	Gambia	2015	east
SPT35896	Njayel	Gambia	2015	east
SPT35902	Njayel	Gambia	2015	east
SPT35904	Njayel	Gambia	2015	east
SPT35922	SareWuro	Gambia	2015	east
SPT35923	SareWuro	Gambia	2015	east
SPT35924	SareWuro	Gambia	2015	east
SPT35933	SareWuro	Gambia	2015	east
PA0410-C	Basse	Gambia	2014	east
PA0477-C	Brikama	Gambia	2014	west
PA0512-C	Basse	Gambia	2014	east
PA0519-C	Basse	Gambia	2014	east
PA0007-C	Brikama	Gambia	2008	west
PA0008-C	Brikama	Gambia	2008	west
PA0011-C	Brikama	Gambia	2008	west
PA0012-C	Brikama	Gambia	2008	west
PA0013-C	Brikama	Gambia	2008	west
PA0014-C	Brikama	Gambia	2008	west
PA0015-C	Brikama	Gambia	2008	west
PA0016-C	Brikama	Gambia	2008	west
PA0017-C	Brikama	Gambia	2008	west
PA0018-C	Brikama	Gambia	2008	west
PA0020-C	Brikama	Gambia	2008	west
PA0021-C	Brikama	Gambia	2008	west
PA0022-C	Brikama	Gambia	2008	west
PA0026-C	Brikama	Gambia	2008	west
PA0027-C	Brikama	Gambia	2008	west
PA0028-C	Brikama	Gambia	2008	west
PA0029-C	Brikama	Gambia	2008	west
PA0030-C	Brikama	Gambia	2008	west
PA0032-C	Brikama	Gambia	2008	west
PA0034-C	Brikama	Gambia	2008	west
PA0035-C	Brikama	Gambia	2008	west
PA0036-C	Brikama	Gambia	2008	west
PA0037-C	Brikama	Gambia	2008	west
PA0038-C	Brikama	Gambia	2008	west
PA0039-C	Brikama	Gambia	2008	west
PA0040-C	Brikama	Gambia	2008	west
PA0041-C	Brikama	Gambia	2008	west
PA0042-C	Brikama	Gambia	2008	west
PA0044-C	Brikama	Gambia	2008	west
PA0045-C	Brikama	Gambia	2008	west
PA0046-C	Brikama	Gambia	2008	west
PA0047-C	Brikama	Gambia	2008	west
PA0049-C	Brikama	Gambia	2008	west
PA0050-C	Brikama	Gambia	2008	west
PA0051-C	Brikama	Gambia	2008	west
PA0052-C	Brikama	Gambia	2008	west
PA0053-C	Brikama	Gambia	2008	west
PA0054-C	Brikama	Gambia	2008	west
PA0056-C	Brikama	Gambia	2008	west
PA0057-C	Brikama	Gambia	2008	west
PA0059-C	Brikama	Gambia	2008	west
PA0060-C	Brikama	Gambia	2008	west
PA0061-C	Brikama	Gambia	2008	west
PA0063-C	Brikama	Gambia	2008	west
PA0064-C	Brikama	Gambia	2008	west
PA0065-C	Brikama	Gambia	2008	west
PA0066-C	Brikama	Gambia	2008	west
PA0067-C	Brikama	Gambia	2008	west
PA0068-C	Brikama	Gambia	2008	west
PA0069-C	Brikama	Gambia	2008	west
PA0071-C	Brikama	Gambia	2008	west
PA0072-C	Brikama	Gambia	2008	west
PA0073-C	Brikama	Gambia	2008	west
PA0074-C	Brikama	Gambia	2008	west
PA0075-C	Brikama	Gambia	2008	west
PA0078-C	Brikama	Gambia	2008	west
PA0079-C	Brikama	Gambia	2008	west
PA0080-C	Brikama	Gambia	2008	west
PA0081-C	Brikama	Gambia	2008	west
PA0084-C	Brikama	Gambia	2008	west
PA0085-C	Brikama	Gambia	2008	west
PA0087-C	Brikama	Gambia	2008	west
PA0089-C	Brikama	Gambia	2008	west
PA0090-C	Brikama	Gambia	2008	west
PA0091-C	Brikama	Gambia	2008	west
PA0092-C	Brikama	Gambia	2008	west
PA0093-C	Brikama	Gambia	2008	west
PA0094-C	Brikama	Gambia	2008	west
PA0095-C	Brikama	Gambia	2008	west
PA0097-C	Brikama	Gambia	2008	west
PA0098-C	Brikama	Gambia	2008	west
PA0099-C	Brikama	Gambia	2008	west
PA0100-C	Brikama	Gambia	2008	west
PA0101-C	Brikama	Gambia	2008	west
PA0102-C	Brikama	Gambia	2008	west
PA0103-C	Brikama	Gambia	2008	west
PA0104-C	Brikama	Gambia	2008	west
PA0105-C	Brikama	Gambia	2008	west
PA0585-C	Basse	Gambia	2014	east
PA0603-C	Basse	Gambia	2014	east
PA0605-C	Basse	Gambia	2014	east
PA0606-C	Basse	Gambia	2014	east
PA0611-C	Basse	Gambia	2014	east
PA0612-C	Basse	Gambia	2014	east
PA0623-C	Basse	Gambia	2014	east
PA0634-C	Basse	Gambia	2014	east
PA0644-C	Basse	Gambia	2014	east
PA0651-C	Basse	Gambia	2014	east
PA0653-C	Basse	Gambia	2014	east
PA0654-C	Basse	Gambia	2014	east
PA0370-C	Basse	Gambia	2014	east
PA0371-C	Basse	Gambia	2014	east
PA0372-C	Basse	Gambia	2014	east
PA0373-C	Basse	Gambia	2014	east
PA0374-C	Basse	Gambia	2014	east
PA0375-C	Basse	Gambia	2014	east
PA0376-C	Basse	Gambia	2014	east
PA0377-C	Basse	Gambia	2014	east
PA0378-C	Basse	Gambia	2014	east
PA0379-C	Basse	Gambia	2014	east
PA0382-C	Basse	Gambia	2014	east
PA0383-C	Basse	Gambia	2014	east
PA0384-C	Basse	Gambia	2014	east
PA0387-C	Basse	Gambia	2014	east
PA0388-C	Basse	Gambia	2014	east
PA0389-C	Basse	Gambia	2014	east
PA0391-C	Basse	Gambia	2014	east
PA0392-C	Basse	Gambia	2014	east
PA0393-C	Basse	Gambia	2014	east
PA0394-C	Basse	Gambia	2014	east
PA0395-C	Basse	Gambia	2014	east
PA0396-C	Basse	Gambia	2014	east
PA0397-C	Basse	Gambia	2014	east
PA0398-C	Basse	Gambia	2014	east
